id,日期,項目內容,收支類型,金額,備註,建立時間,user_id
"710df7ec-5223-404c-b402-142a7b42f937","2026-04-13T00:00:00+00:00","包材","支出","105","","2026-04-23T08:41:04.588153+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"ad26f4f4-6fb0-4a9d-b988-bd14d366796b","2026-01-13T00:00:00+00:00","紫泉小賞ALL","收入","1150","","2026-04-23T08:43:51.507268+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"811ae751-0c4b-4b25-b3fd-e1dc8ac4d0cc","2026-01-15T00:00:00+00:00","LOL企鵝代購","收入","640","","2026-04-23T08:44:03.957747+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"d383b98d-0442-4b0f-90c5-50e42d2d58b0","2026-01-15T00:00:00+00:00","安踏鞋盒","收入","880","","2026-04-23T08:44:17.17797+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"4b7cb349-ad96-4e82-b75e-1cf62f2970af","2026-01-15T00:00:00+00:00","流螢小賞","收入","221","","2026-04-23T08:44:31.209738+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"3a92a5cb-d4c3-4483-b5b4-979d2aff2d63","2026-02-03T00:00:00+00:00","Proof後藤一里","收入","881","","2026-04-23T08:49:10.867503+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"80608312-0d56-4b7d-8595-ac10fb43d146","2026-02-03T00:00:00+00:00","承認欲求怪獸","收入","776","","2026-04-23T08:49:19.884354+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"61d7ffc5-c129-495b-b24f-8dee5c24aeb4","2026-02-07T00:00:00+00:00","剪刀","收入","1100","","2026-04-23T08:49:29.164327+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"a1328be5-003f-4b1d-8a43-2e40fb95ccc7","2026-02-07T00:00:00+00:00","原畫卡","收入","415","","2026-04-23T08:49:36.627706+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"2107d340-7265-4047-bbe7-3a69880d4ec1","2026-02-09T00:00:00+00:00","安踏鞋盒","收入","450","","2026-04-23T08:52:31.206994+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"af85447e-7ea0-41df-9afe-3cff7305cb54","2026-02-23T00:00:00+00:00","承認欲求怪獸","收入","603","","2026-04-23T08:52:40.531922+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"9502b852-8862-4574-ad9e-8046031dbde7","2026-03-12T00:00:00+00:00","福袋衣服","收入","1200","","2026-04-23T08:52:49.08018+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"37c3cd35-fa69-444c-9f52-86ef9b3ce4d3","2026-03-18T00:00:00+00:00","貓貓滿贈徽章","收入","120","","2026-04-23T08:53:00.746044+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"d7bff25f-5ff1-4c80-87f8-fe1ad5efdc1e","2026-03-19T00:00:00+00:00","安踏鞋盒","收入","612","","2026-04-23T08:53:07.880797+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"4c190974-8236-4745-9401-2c32d453ca1a","2026-03-21T00:00:00+00:00","大港代購","收入","2250","","2026-04-23T08:53:16.968562+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"515090e9-75b4-475a-b83a-1583263fccb2","2026-03-24T00:00:00+00:00","安踏鞋盒","收入","490","","2026-04-23T08:53:24.29609+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"edb6ced1-96bb-4292-a75f-c709f10cb0fd","2026-03-25T00:00:00+00:00","承認欲求怪獸","收入","369","","2026-04-23T08:53:31.721124+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"6739b3a8-db44-4b85-933d-4749312b300a","2026-03-29T00:00:00+00:00","花火壓克力板+徽章","收入","445","","2026-04-23T08:53:39.653254+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"a70bd337-067d-4c4f-9931-410847c56708","2026-04-22T00:00:00+00:00","紫泉+白泉錢包","收入","532","","2026-04-23T08:53:50.537488+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
"e3930478-7dad-4c64-80c1-54de0486aca4","2026-04-25T00:00:00+00:00","運費支出","支出","924","","2026-04-25T14:33:07.937872+00:00","6bd05ea5-44eb-46de-a7f2-cd540b4ca715"
